TimeNav,Azimuth,GaragNumb,Graph,Latitude,Longitude,Marsh,Speed,TimeNav,dist,dist_delta
2020-11-08 13:27:00,180,2775,1,55.78571700000001,49.170837,22,20,2020-11-08 13:27:00,0.04827491809417867,0.0017092416253427917
2020-11-08 13:27:00,180,2775,1,55.78571700000001,49.170837,22,20,2020-11-08 13:27:00,0.04827491809417867,0.0
2020-11-08 13:28:00,180,2775,1,55.78571700000001,49.170837,22,0,2020-11-08 13:28:00,0.04827491809417867,0.0
2020-11-08 13:28:00,180,2775,1,55.78571700000001,49.170837,22,0,2020-11-08 13:28:00,0.04827491809417867,0.0
2020-11-08 13:29:00,179,2775,1,55.78438000000001,49.170788,22,16,2020-11-08 13:29:00,0.048537367718077644,0.0002624496238989721
2020-11-08 13:29:00,179,2775,1,55.78438000000001,49.170788,22,16,2020-11-08 13:29:00,0.048537367718077644,0.0
2020-11-08 13:30:00,157,2775,1,55.781128,49.170995,22,24,2020-11-08 13:30:00,0.049632122662644,0.001094754944566359
2020-11-08 13:30:00,157,2775,1,55.781128,49.170995,22,24,2020-11-08 13:30:00,0.049632122662644,0.0
2020-11-08 13:31:00,157,2775,1,55.779771999999994,49.171982,22,2,2020-11-08 13:31:00,0.05099549996813644,0.0013633773054924359
2020-11-08 13:31:00,157,2775,1,55.779771999999994,49.171982,22,2,2020-11-08 13:31:00,0.05099549996813644,0.0
2020-11-08 13:32:00,175,2775,1,55.77401500000001,49.174882000000004,22,51,2020-11-08 13:32:00,0.055785095876943955,0.004789595908807516
2020-11-08 13:32:00,175,2775,1,55.77401500000001,49.174882000000004,22,51,2020-11-08 13:32:00,0.055785095876943955,0.0
2020-11-08 13:33:00,153,2775,1,55.770559999999996,49.176025,22,3,2020-11-08 13:33:00,0.0582749954268595,0.0024898995499155474
2020-11-08 13:33:00,153,2775,1,55.770559999999996,49.176025,22,3,2020-11-08 13:33:00,0.0582749954268595,0.0
2020-11-08 13:34:00,140,2775,1,55.766615,49.180009999999996,22,35,2020-11-08 13:34:00,0.06361682766375132,0.005341832236891816
2020-11-08 13:34:00,140,2775,1,55.766615,49.180009999999996,22,35,2020-11-08 13:34:00,0.06361682766375132,0.0
2020-11-08 13:35:00,136,2775,1,55.763813,49.184823,22,28,2020-11-08 13:35:00,0.06918149198304599,0.005564664319294671
2020-11-08 13:35:00,136,2775,1,55.763813,49.184823,22,28,2020-11-08 13:35:00,0.06918149198304599,0.0
2020-11-08 13:36:00,153,2775,1,55.761915,49.188023,22,24,2020-11-08 13:36:00,0.0728981452781895,0.003716653295143507
2020-11-08 13:36:00,153,2775,1,55.761915,49.188023,22,24,2020-11-08 13:36:00,0.0728981452781895,0.0
